,Tracking state,SV,Phase lock flag,Parity known flag,Code locked flag,Correlator type,SS,Reserved,Grouping,Signal type,Reserved,Primary L1 channel,Carrier phase measurement,Reserved,PRN lock flag,Channel assignment,Doppler Frequency/HZ,PSR,ADR/cycles,StdDev-PSR/m,StdDev-ADR/cycles,PRN,Lock Time/s,C/No/db-hz,Reserved
0,0,18,0,1,1,4,0,1,0,0,0,1,1,0,0,0,602911.7812,522609884.0859,10248407.9883,1.281,0.0039,9,35338.5,32,131072
1,1,12,1,1,1,4,1,1,0,0,0,1,0,0,0,1,733327.8477,534668508.0859,12943414.6484,19.0,0.0098,9,33802.0,32,131072
2,0,16,1,1,1,4,6,1,0,0,0,0,0,0,0,1,459407.8398,535192796.0859,16113054.8906,0.253,0.002,9,37642.125,32,196608
3,4,18,0,1,1,4,0,1,0,0,0,0,1,0,0,0,737791.5586,525175214.0703,12315088.5312,0.113,0.002,10,54163.625,44,196608
4,5,12,1,1,1,4,1,1,0,0,0,0,0,0,0,1,904655.6172,533170606.0703,2559295.9609,0.169,0.0059,10,28422.75,36,131072
5,8,18,0,1,1,4,0,1,0,0,0,1,1,0,0,0,246320.0859,19825762.0781,446215.8047,0.113,0.002,2,56692.375,44,196608
6,9,12,1,1,1,4,1,1,0,0,0,1,0,0,0,1,982560.0156,25330786.0781,7569264.7812,0.169,0.0078,2,54201.5,28,131072
7,12,18,0,1,1,4,0,1,0,0,0,0,1,0,0,0,269920.4414,1204934.0859,3943698.5195,0.57,0.0039,25,8508.75,20,131072
8,13,12,1,1,1,4,1,1,0,0,0,0,0,0,0,1,811632.3906,29909702.0859,13233112.668,9.5,0.0117,25,316.875,20,65536
9,12,16,1,1,1,4,6,1,0,0,0,0,0,0,0,1,36448.3438,5661894.0859,798981.9141,2.375,0.002,25,40719.375,20,131072
10,16,18,0,1,1,4,0,1,0,0,0,1,1,0,0,0,959472.043,6058654.0781,5588313.7266,0.169,0.002,12,4094.125,32,196608
11,17,12,1,1,1,4,1,1,0,0,0,1,0,0,0,1,832272.0586,13791902.0781,13838106.7227,0.253,0.0078,12,55722.5,20,131072
12,20,18,0,1,1,4,0,1,0,0,0,0,1,0,0,0,22096.4141,16600026.0703,9890673.9766,0.113,0.002,5,29882.625,32,196608
13,21,12,1,1,1,4,1,1,0,0,0,0,0,0,0,1,634800.25,23677914.0703,929292.918,0.113,0.0059,5,53486.875,24,131072
14,24,18,0,1,1,4,0,1,0,0,0,1,1,0,0,0,75903.6445,523806004.0781,12407300.5352,0.169,0.002,6,8504.4062,24,196608
15,25,12,1,1,1,4,1,1,0,0,0,1,0,0,0,1,383951.6914,529835316.0781,9482153.5703,0.253,0.0078,6,27269.375,44,131072
16,24,16,1,1,1,4,6,1,0,0,0,0,0,0,0,1,966303.7383,531539252.0781,15089293.7969,0.113,0.002,6,28622.5,48,196608
17,28,18,0,1,1,4,0,1,0,0,0,1,1,0,0,0,133360.7422,2807144.0859,12617911.8086,152.0,0.0078,13,19650.75,20,65536
18,29,12,1,1,1,4,1,1,0,0,0,1,0,0,0,1,864272.5625,14210408.0859,12629573.5078,152.0,0.0117,13,5637.625,20,65536
19,0,18,0,1,1,5,0,1,0,0,0,0,1,0,0,0,833632.8047,29898794.0938,14917682.5625,1.281,0.0059,26,8265.375,20,131072
20,1,12,1,1,1,5,1,1,0,0,0,0,0,0,0,1,838688.5742,9452074.0938,14811078.8125,2.375,0.0078,26,51512.375,20,131072
21,8,18,0,1,1,5,0,1,0,0,0,0,1,0,0,0,77647.3789,527348204.0781,2659985.7969,0.169,0.002,17,41605.1562,36,196608
22,9,12,1,1,1,5,1,1,0,0,0,0,0,0,0,1,397119.5586,532328940.0781,11502991.8867,0.38,0.0078,17,40369.4062,28,131072
23,0,18,0,1,1,6,0,1,0,21,0,0,1,0,0,0,617215.8906,527412240.1484,6354977.9961,1.281,0.0039,193,40793.9062,44,131072
24,1,14,0,1,1,6,1,1,0,21,0,0,0,0,1,0,905119.9336,534883344.1484,736465.7539,0.854,0.002,193,50472.5312,40,196608
25,0,16,1,1,1,6,6,1,0,21,0,0,0,0,0,1,938063.9453,510242320.1484,11129021.6602,0.113,0.002,193,38745.5312,44,196608
26,28,18,0,1,1,6,0,1,0,4,0,0,1,0,0,0,908047.3711,520308888.0859,12173970.9688,76.0,0.0156,51,3.875,20,65536
27,29,12,1,1,1,6,5,1,0,4,0,0,0,0,0,0,376767.4844,536561816.0859,15256291.6406,152.0,0.0117,51,49666.125,20,65536
28,0,18,0,1,1,7,0,1,0,4,0,1,1,0,0,0,126943.7305,504125042.0781,2443005.6602,0.169,0.0059,60,22263.1562,24,2818048
29,1,12,1,1,1,7,5,1,0,4,0,0,0,0,0,0,327199.7539,515659378.0781,10265825.6797,0.169,0.002,60,58686.125,20,2818048
30,4,18,0,1,1,7,0,1,0,4,0,1,1,0,0,0,908560.3477,29692278.0703,10465940.9922,0.38,0.0078,61,8906.75,32,2490368
